"","Horse (Age, Color, Sex)",,,,,,,,,,
"",Sire,,,,,,,,,,
"",Dam,,,,,,,,,,
"#",Dam's Sire,Owner / Breeder,Rider,,,1st Go,,Owner,Stallion,Breeder,
"",VF Wheely Famous (2014‐Gray‐G),Laurie & Robert Viaene,,,,,,,,,
"",Eddie Stinson,"Marshall, MN",,,,,,,,,
"",Wheely Quick,Victory Farms,Carina Morris,,,,,,,,
18 The Harder They Fall,,"Ada, OK","Rio, WI",,O,17.417,18,"$1,578",$186,$93,
"","Horse (Age, Color, Sex)",,,,,,,,,,
"",Sire,,,,,,,,,,
"",Dam,,,,,,,,,,
"#",Dam's Sire,Owner / Breeder,Rider,,,1st Go,,Owner,Stallion,Breeder,
"",Shesamityslickdesign (2014‐Buckskin‐M),Kerry L & Mary E Burger,,,,,,,,,
"",Slick By Design,"Pauls Valley, OK",,,,,,,,,
"",Lenas Hardly Smokin,Linda &/or Bruce Stenerson,Mary Burger,,,,,,,,
19,Smokeys Gray,"Escondido, CA","Pauls Valley, OK",,,17.452,19,"$1,461",$172,$86,
"",Fortunate Fame (2014‐Chestnut‐M),Juli Stierwalt,,,,,,,,,
"",Eddie Stinson,"Leedey, OK",,,,,,,,,
"",French Fortunes,Thomas O'Neal,Jacie Etbauer,,,,,,,,
20,Frenchmans Guy,"Choudrant, LA","Edmond, OK",,O,17.522,20,"$1,169",$138,$69,
"",Steakinwithmysockson (2013‐Bay‐M),Austyn Tobey,,,,,,,,,
"",BHR Frenchie Socks,"Bemidji, MN",,,,,,,,,
"",Florida Cyclone,Deborah J Semarge,Austyn Tobey,,,,,,,,
21 Runaway Colors,,"Alachua, FL","Bemidji, MN",A,,17.528,,,,,
"",Uno Mas Goodbye (2013‐Brown‐S),,,,,,,,,,
"",The Goodbye Lane,,,,,,,,,,
"",Request A Scout,Shana Gibson,Shana Gibson,,,,,,,,
22 Convoy Scout,,"Ogden, UT","Ogden, UT",A,O,17.562,,,,,
"",Eddies Lil Cat (2013‐Sorrel‐M),Kelsey Knight,,,,,,,,,
"",Eddie Stinson,"Willow, OK",,,,,,,,,
"",Longshot Lover,Victory Farms,Kelsey Knight,,,,,,,,
23,Little Cat Olena,"Ada, OK","Willow, OK",,O,17.565,,,,,
"",PCR Pink Cadillac *PBS (2013‐Sorrel‐S),,,,,,,,,,
"",Dash Ta Fame,,,,,,,,,,
"",My Favorite Lane,Greg Torgerson,Edria Day,,,,,,,,
24,Lanes Leinster,"Richfield, UT","Delta, UT",,O,17.601,,,,,
"",Paid To Hot Rod (2013‐Bay‐G),Thomas & Lainee Sampson,,,,,,,,,
"",Irish Pay,"Interior, SD",,,,,,,,,
"",Frenchmans La Jolla,John P & Elisabeth Hollmann,Lainee Sampson,,,,,,,,
25,Streakin La Jolla,"Hot Springs, SD","Interior, SD",,O,17.688,,,,,
"",Streakn Peachsmoothy (2013‐Palomino‐M),Marty &/or Jessica Leach,,,,,,,,,
"",A Smooth Guy,"Rockville, NE",,,,,,,,,
"",Bee Streakin Bug,Mark &/or Lynne Schricker,Jessica Leach,,,,,,,,
26 PJ Debuts Sizzler,,"Colorado Springs, CO","Rockville, NE",,O,17.691,,,,,Amateur
"",Bar B Arabella Bug (2014‐Chestnut‐M),Kelli Ann McPherson,,,,,,,,,
"",Shawne Bug Leo,"Moung, TX",,,,,,,,,Carry to Open
"",Yella Izabella,Rattlesnake Ranch,Jacque Woolman,,,,,,,,
27,Frenchmans Guy,"Lufkin, TX","Llano, TX",,O,17.695,,,,,Carry to Open
"",Prime Time Ta Streak (2013‐Bay‐G),Maggie Poloncic,,,,,,,,,Youth Incentive
"",Prime Talent,"Gillette, WY",,,,,,,,,
"",Expressly Six,Copper Spring Ranch,Maggie Poloncic,,,,,,,,
28,Streakin Six,"Bozeman, MT","Gillette, WY",,O,17.705,,,,,
"",Whoowho Sheztalented (2013‐Bay‐M),Jim Real Bird,,,,,,,,,
"",Prime Talent,"Garryowen, MT",,,,,,,,,
"",Feefifowho,Copper Spring Ranch,Jessie Havener,,,,,,,,
29 By Who,,"Bozeman, MT","Lodgegrass, MT",A,,17.732,,,,,
"",Skippin Lanes (2013‐Chestnut‐G),Kelsey Hayden,,,,,,,,,
"",The Goodbye Lane,"Hanford, LA",,,,,,,,,
"",Sheiks Mistress,Lon P & Sonja E Seeley,Kelsey Hayden,,,,,,,,
30,Social Command,"Vernal, UT","Hanford, LA",,O,17.747,,,,,
"",KN Fast Eddie (2014‐Bay‐M),,,,,,,,,,
"",Eddie Stinson,,,,,,,,,,
"",Kczartessa,Kimi & Stephen Nichols,Kay Blandford,,,,,,,,
31,Streakin Dash,"Brownwood, TX","Sutherland Springs, TX",,O,17.759,,,,,
"",Famous Blazin Jane (2013‐Sorrel‐M),,,,,,,,,,
"",Blazin Jetolena,,,,,,,,,,
"",Rebs Little Fame,Busby Quarterhorse LLC,Karen Manning,,,,,,,,
32 Dash Ta Fame,,"Millsap, TX","Marietta, OK",,O,17.774,,,,,
"",Pays To Be French (2013‐Bay‐G),Audra Scott,,,,,,,,,
"",Irish Pay,"Sheridan, WY",,,,,,,,,
"",Special French Lady,John P & Elisabeth Hollmann,Erin King,,,,,,,,
33,Special Effort,"Hot Springs, SD","Sun City, CA",,O,17.779,,,,,
"",Rock O Blazin Fame (2013‐Chestnut‐G),Jeff & Buffy Walchli,,,,,,,,,
"",Blazin Jetolena,"Shelley, ID",,,,,,,,,
"",Bebes Hat Trick,Scott Martin,Buffy Walchli,,,,,,,,
34 Dash Ta Fame,,"Elgin, AZ","Shelley, ID",,O,17.797,,,,,
